    [1693.37780762 1041.52941895]
    [1626.60766602 1034.67773438]
    [1170.48413086  622.40203857]
    [1060.93029785  623.56500244]
    [910.40606689 733.89868164]
    [761.08990479 843.8069458 ]
    [730.65661621 866.20819092]
    [669.20544434 911.44104004]
    [721.55499268 926.88641357]
    [1319.73449707 1040.28662109]
    [1340.5213623  1581.84570312]
    [1355.16992188 2064.21118164]
    [1386.2043457 2419.5390625]
    [1115.74060059 1029.21618652]
    [1126.6003418  1553.25109863]
    [1138.07202148 2019.90148926]
    [1136.96203613 2355.97387695]
    [1198.68505859  529.14123535]
    [1199.66027832  494.57025146]
    [1226.23046875  469.49862671]
    [1274.78613281  482.44281006]
    [1185.32775879  468.44552612]
    [1164.42651367  479.14575195]
    [1351.25878906 2121.72949219]
    [1142.11657715 2077.25463867]
    [1210.43811035 1005.75262451]
    [1217.52258301  869.019104  ]
    [1223.87207031  736.4241333 ]
    [1230.02868652  607.85693359]
    [1265.90661621  609.16290283]
    [1377.40600586  615.36535645]
    [1377.01098633  787.11590576]
    [1382.640625    968.54754639]
    [1383.76782227 1004.87384033]
    [1386.0234375  1077.56652832]
    [1339.21350098 1037.45849609]
    [1194.76184082  605.20526123]
    [1091.51257324  599.46173096]
    [984.32550049 730.25152588]
    [1056.30163574  544.64550781]
    [1071.06054688  506.58621216]
    [1100.95471191  429.49765015]
    [1129.27294922  484.993927  ]
    [1306.24865723 1019.17071533]
    [1301.63476562 1590.19311523]
    [1294.6842041  2087.59716797]
    [1302.91333008 2462.10229492]
    [1118.09912109  992.82073975]
    [1105.7064209  1541.16430664]
    [1098.25634766 2019.51928711]
    [1077.53552246 2367.84960938]
    [1238.38500977  504.56100464]
    [1243.16101074  463.37921143]
    [1274.44714355  432.76028442]
    [1321.0579834   445.38134766]
    [1223.73815918  427.91397095]
    [1186.68603516  432.26873779]
    [1290.1697998  2143.34301758]
    [1101.65319824 2075.92016602]
    [1212.34692383  981.27923584]
    [1216.34765625  858.29614258]
    [1220.70251465  739.72442627]
    [1224.90588379  625.27789307]
    [1256.63330078  625.86010742]
    [1361.60839844  629.81109619]
    [1390.83300781  816.0859375 ]
    [1419.04162598  997.59832764]
    [1424.7052002  1034.04101562]
    [1436.05407715 1107.06713867]
    [1384.13476562 1069.85583496]
    [1193.79528809  623.49505615]
    [1098.27954102  619.90008545]
    [1001.45965576  769.60131836]
    [1069.15881348  615.90301514]
    [1083.42565918  583.51263428]
    [1112.73962402  516.96087646]
    [1136.40454102  570.92095947]
    [1300.08361816  992.76904297]
    [1299.3314209  1519.56713867]
